N°Obs;1. Civilisation;2. Civilisation_Autre;3. Age;4. Carriere;5. Region;6. OrigineDomaine;7. Si_etrangers_de_quelle_partie_venez-vous;8. VinNation;9. VinImport;10. bas_gamme;11. milieu_gamme;12. haut_gamme;13. grand_cru;14. SatisPub;15. prixpub;16. Quest-ce_qui_vous_attires;17. Quest-ce_qui_vous_attires_Autre;18. FondPhoto;19. AppaGout;20. MondeouChinois;21. NouvoAncien;22. rougeblancautre;23. rougeblancautre_Autre;24. frequence;25. canaux_achat;26. canaux_achat_Autre;27. modivation;28. modivation_Autre;29. Quel_type_de_vin_buvez-vous_souvent;30. Quel_type_de_vin_buvez-vous_souven_Autre;31. LibreAmeliorer;32. CLE;33. DATE_SAISIE;34. DATE_ENREG;35. DATE_MODIF;36. TEMPS_SAISIE;37. ORIGINE_SAISIE;38. LANG_SAISIE;39. APPAREIL_SAISIE;40. PROGRESSION
1;Femme;;de 18 à 29 ans;学生;Région du Sud-ouest (Xi'nan);Non;;宁夏;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 200 (28,57€);"Le prix;Les textes;La photo;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a quelques jours;"Taobao;Tmall";;"Achetez et buvez pour vous-même;Apprentissage et éducation;Cadeaux;Collection ou investissement";;"Vin rouge;Vin blanc;Vin liquoreux;Vin pétillant;Champagne;Vin rosé";;不错;5285-5F9R;14/03/2023 15:03:38;14/03/2023 15:07:54;;255,8977216;Direct;CN;Smartphone;Terminé
2;Homme;;de 18 à 29 ans;Étudiant;Région du Sud-ouest (Xi'nan);Je ne sais pas;;0;France;< RMB 50 (7,14€);< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Plûtot content;< ¥ 200 (28,57€);"Le prix;La photo;Les textes";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;;Il y a des semaine;Autre;Dans les boutiques;"Achetez et buvez pour vous-même;Cadeaux;Apprentissage et éducation;Collection ou investissement";;"Vin rouge;Vin blanc;Champagne;Vin rosé;Vin pétillant;Vin liquoreux";;;FCWE-3YGD;14/03/2023 15:13:00;14/03/2023 15:16:13;;192,7160005;Direct;FR;Smartphone;Terminé
3;Femme;;de 18 à 29 ans;程序员;Région du Sud-ouest (Xi'nan);Non;;0;法国;< RMB 200 (28,57€);< RMB 1000 (142,86€);< RMB 1000 (142,86€);milieu de gamme;Plûtot content;< ¥ 250 (35,71€);"La photo;Le prix;Les textes";;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;"JD;Taobao;Tmall";;Achetez et buvez pour vous-même;;"Vin rouge;Champagne;Vin blanc;Vin liquoreux;Vin pétillant";;;KGDQ-KCML;14/03/2023 15:15:58;14/03/2023 15:19:03;;185,0366284;Direct;CN;Smartphone;Terminé
4;Femme;;de 18 à 29 ans;无业;Région du Nord (Huabei);Oui;;张裕;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;;"Le prix;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;Autre;酒行;Achetez et buvez pour vous-même;;"Vin blanc;Vin rosé;Champagne";;;YFTX-RYMJ;14/03/2023 15:16:09;14/03/2023 15:19:18;;189,0613794;Direct;CN;Smartphone;Terminé
5;Homme;;de 30 à 39 ans;Sans emploi ;Région du Nord-Est (Dongbei);Non;;Shandong qingdao;France et Espagne ;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 100 (14,29€);Autre;Emballage surtout ;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a des semaine;Autre;Supermarché ;Autre;Pour moi même et aussi pour partager entre amis ;"Vin rouge;Vin rosé";;Pas de recommandation ;ZXU3-KNEJ;14/03/2023 15:13:54;14/03/2023 15:21:54;;479,7542412;Direct;FR;Smartphone;Terminé
6;Femme;;de 18 à 29 ans;自由职业;Région de l'Est (Huadong);Oui;;山东;法国;< RMB 100 (14,29€);< RMB 500 (71,43€);< RMB 500 (71,43€);haut de gamme;Plutôt pas content;< ¥ 500 (71,43€);"Le prix;La photo;Les textes;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a des semaine;"Taobao;JD;Tmall";;Collection ou investissement;;"Vin rouge;Vin blanc;Champagne;Vin rosé;Vin liquoreux;Vin pétillant";;;BTJ7-Z4ET;14/03/2023 15:18:34;14/03/2023 15:21:59;;204,3356738;Direct;CN;PC;Terminé
7;Femme;;de 30 à 39 ans;技术;Région du Sud-ouest (Xi'nan);Non;;宁夏;法国;< RMB 1000 (142,86€);< RMB 200 (28,57€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 100 (14,29€);"Les textes;La photo;Le prix";;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Jamais;"JD;Tmall;Taobao";;Cadeaux;;Autre;不喝;;FFP7-ZWMP;14/03/2023 15:19:37;14/03/2023 15:23:32;;234,795209;Direct;CN;Smartphone;Terminé
8;Homme;;;学生;Région du Sud-ouest (Xi'nan);Non;;新疆;法国;< RMB 50 (7,14€);< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Pas du tout;< ¥ 100 (14,29€);Les textes;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;;Achetez et buvez pour vous-même;;Vin blanc;;很中国很社会;LD9Y-HUK7;14/03/2023 15:21:29;14/03/2023 15:25:01;;212,0475304;Direct;CN;Smartphone;Terminé
9;Femme;;de 18 à 29 ans;做鸭;Région de l'Est (Huadong);Non;;张欲解百纳;奔赴 BIN;< RMB 300 (42,86€);< RMB 200 (28,57€);< RMB 200 (28,57€);milieu de gamme;Pas du tout;< ¥ 150 (21,43€);Les paiements échelonnés;;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a demi ans.;Autre;不撸帝;Cadeaux;;"Vin pétillant;Vin rouge";;㊗️朱老板生意兴隆;8YMM-R85W;14/03/2023 15:23:27;14/03/2023 15:27:00;;212,4763902;Direct;CN;Smartphone;Terminé
10;Homme;;de 40 à 49 ans;employee;Région de l'Est (Huadong);Non;;0;France;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Pas du tout;< ¥ 50 (7,14€);Autre;quality;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a des semaine;Autre;winestore ;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin blanc;Vin pétillant";;;ETB8-JET5;14/03/2023 15:19:01;14/03/2023 15:27:37;;516,5286802;Direct;EN;Smartphone;Terminé
